,0
664,208.41934666414306
665,205.3614024030444
666,206.97630751414707
667,206.47773343369096
668,194.80068275906888
669,190.69931294712825
670,189.68119161002133
671,182.47158405507628
672,175.78965287564603
673,181.9545101151793
674,183.84462093956142
675,172.86103979615186
676,173.1394218057663
677,169.6915916015634
678,163.88714560260468
679,160.6442201680731
680,159.05571534359564
681,151.17437220942537
682,137.62313945475876
683,143.90600874750885
684,143.1332092795688
685,139.2963965134361
686,129.10673297457402
687,135.68558040042882
688,132.69339720024942
689,120.09500330452094
690,111.84701339184699
691,116.71977686219395
692,111.95547878761924
693,102.99489574693816
694,100.99274603677114
695,103.4591290438249
696,92.66218367495898
697,89.99426415394862
698,87.95456120976195
699,85.9741798643467
700,67.56937653021632
701,69.28865677879304
702,68.03359938436233
703,61.566932267716936
704,48.38146577174689
705,53.61732420392764
706,54.358167342582306
707,38.57383778689342
708,39.246600592323034
709,44.76260026339281
710,50.04845205973774
711,46.7815263969608
712,38.393233149819565
713,30.280231386042715
714,28.818605877817603
715,37.18485982620261
716,49.62866973269746
717,45.22541721870533
718,42.481371374048535
719,47.68530285105681
720,54.86225057154985
721,42.57820657726272
722,29.077775147987552
723,27.27560657374113
724,31.368039790633844
725,15.54682817543474
726,15.860123983490269
727,2.6431149088470534
728,-1.1624431831091329
729,-7.5021756547135965
730,-14.356905258208087
731,-27.413464900932468
732,-32.434250431889666
733,-31.114668572398216
734,-35.37960301902683
735,-50.505584089046664
736,-44.52827817145274
737,-42.661662199862434
738,-43.61208148248997
739,-60.15430060369577
740,-53.1583240244329
741,-54.40579094847346
742,-61.109867600428274
743,-79.31030196730539
744,-73.99801075603108
745,-69.7225936707222
746,-83.24230287420829
747,-88.51702667295278
748,-87.0007125353523
749,-86.62502774266198
750,-104.76288070119682
751,-99.90620800304038
752,-102.56629087827332
753,-95.22351240866533
754,-100.95198839537136
755,-100.1585658643568
756,-101.59618712766951
757,-97.39017179468976
758,-101.38542080923258
759,-108.8820318696226
760,-123.77503725167526
761,-122.53799465826094
762,-114.68904381120169
763,-107.93801636877498
764,-123.02497597242282
765,-112.99471660779612
766,-113.81729132734989
767,-112.96943586667689
768,-117.51425787300593
769,-110.26163947960683
770,-110.39659242440224
771,-122.36963430985946
772,-122.36434820629881
773,-119.6091731465338
774,-114.8534962063506
775,-121.75493892346975
776,-108.50888741450828
777,-111.64903472606665
778,-110.60785768782591
779,-119.25199021114719
780,-110.77924841979703
781,-109.63136358978534
782,-108.90831830929775
783,-103.54589573666158
784,-99.65996082078081
785,-104.48040840970401
786,-93.87476667972632
787,-96.42402196732854
788,-87.69302948440398
789,-98.43174906782409
790,-90.99407871494621
791,-85.70462846107563
792,-86.87582967379467
793,-90.76583587554515
794,-81.3146208687846
795,-76.91254606899487
796,-83.71844254064933
797,-76.82365270548135
798,-70.79178614242039
799,-70.24674337836012
800,-75.0192536929967
801,-67.27978213551285
802,-68.89257465595824
803,-76.95716216179056
804,-78.82400909527956
805,-64.35457805696666
806,-60.12315278083611
807,-60.05187323009531
808,-58.38004673699959
809,-48.571343997048075
810,-60.08963203748809
811,-61.70880841624612
812,-62.60609098690887
813,-55.590869917729385
814,-61.68643626453124
815,-57.87697406829284
816,-54.38812198561166
817,-53.223084564218226
818,-54.237175122672596
819,-43.324145872836624
820,-41.54114700133388
821,-43.96162437546997
822,-35.34400324503238
823,-30.296485582878574
824,-34.359463315189885
825,-37.583731330302044
826,-21.472494464190873
827,-24.976349187674543
828,-33.80981925899286
829,-25.943183909448237
830,-16.461580166089107
831,-15.336378348812502
832,-21.534609402602484
833,-20.32646755611796
834,-12.332833843967947
835,-20.592824290506428
836,-13.903597455588319
837,-6.196522200290666
838,-3.430512354766975
839,-9.98368368036705
840,-0.7131015287861686
841,-0.0711786312038214
842,-4.94617452352594
843,-2.437654055398383
844,8.780616990690078
845,11.725417757525662
846,8.468937439794786
847,17.0749853618035
848,15.953036470475354
849,8.25888283011301
850,6.0718506304563675
851,19.82757008571872
852,22.670578642840724
853,16.06090902387868
854,22.022703284554296
855,25.026970345737794
856,24.99247439953365
857,23.770144232765375
858,26.103603190037248
859,27.799726872436764
860,21.298977249895557
861,27.340016533880345
862,29.973591086387007
863,29.71681452145843
864,24.56622587602436
865,33.041256560340216
866,35.81956319375291
867,33.50862570805252
868,37.996080752670025
869,34.92925109305256
870,37.914185746149315
871,27.515735591685655
872,36.36114779876439
873,39.07590800778718
874,28.43130026866345
875,24.8361688150066
876,37.94114896252165
877,42.25370537516628
878,38.51458319372
879,36.566930963506394
880,44.49867829920794
881,44.06588575875821
882,43.216018680632345
883,44.23045043564136
884,48.24293764845254
885,40.081659190404025
886,43.68485093039937
887,47.36511883505962
888,45.92322691223997
889,45.04197296187397
890,45.57322995634783
891,46.69125213021508
892,39.60783953508479
893,49.82542616723262
894,51.574017737807765
895,46.595774152392096
896,40.23426678398954
897,47.508422261868816
898,40.75647420077166
899,38.15293199608254
900,32.377678022941495
901,40.73699865122259
902,43.12833909849721
903,33.08809182590653
904,39.249881017106986
905,40.875453502816214
906,32.70773800699551
907,30.733365749905147
908,35.628566859230645
909,39.38015751355654
910,30.203416376218584
911,32.83221308738918
912,36.64191740163601
913,27.639689743717618
914,25.648191180977875
915,28.992115759699487
916,31.107049715550943
917,21.778333856705416
918,25.729001139858156
919,24.09453512970373
920,22.387202954650206
921,15.46589326935694
922,24.248261439990074
923,24.392379416231392
924,16.776189133650348
925,19.697920802054625
926,25.6302196239171
