,0
252,2322.2185938096122
253,2310.247826609599
254,2308.712432727615
255,2303.8668784653587
256,2308.171338242452
257,2307.3870140739646
258,2291.1123084055894
259,2274.6626754095396
260,2254.6404148788033
261,2236.8521145365057
262,2178.8916046435415
263,2178.7219604914403
264,2182.039838493857
265,2178.5937300574064
266,2134.0441411751317
267,2119.380935858103
268,2085.380973602839
269,2069.1303723147585
270,2058.2988931382633
271,2027.9447646415108
272,2000.7353397041625
273,1963.5066866850655
274,1922.164127449278
275,1932.0067724791338
276,1898.2911089820388
277,1853.9247465438184
278,1841.5266369132075
279,1828.2023118127543
280,1773.2039370723833
281,1734.3921389182124
282,1710.2912538436642
283,1664.5091709068809
284,1629.8063306161528
285,1574.6475535659806
286,1571.3818173893437
287,1546.4719174784773
288,1537.9219277092961
289,1485.6368806918701
290,1433.9150354038998
291,1399.5849339974263
292,1376.8865327556562
293,1320.7895148086914
294,1281.4296062472938
295,1245.0073404954953
296,1195.299277738309
297,1171.2980259158278
298,1138.7195816522658
299,1081.124706669688
300,1026.5179710425098
301,969.5104182795382
302,936.7012145979911
303,872.774843975048
304,869.3888971945609
305,824.1758775572615
306,783.9365712246652
307,747.778422935472
308,706.4308274804697
309,648.2612685738397
310,579.5989878562451
311,556.0571198407926
312,534.4537902494661
313,498.0612298390335
314,417.3490869404965
315,364.68630852167274
316,348.0605957226558
317,312.0931734837868
318,244.5139218101549
319,216.8036025012126
320,169.12832346784245
321,152.1038071996295
322,114.21984050072521
323,74.56647621086077
324,50.670366397727754
325,-5.142675345286088
326,-27.563603281992272
327,-39.78103474706318
328,-86.0708632492038
329,-110.82008880851936
330,-149.92706076334127
331,-185.21360015740524
332,-245.09329534656814
333,-258.5307480887576
334,-289.89208787590184
335,-315.89491892842705
336,-329.86156628691384
337,-362.98061164284775
338,-359.2372309547489
339,-397.88029566705274
340,-422.1426873969653
341,-425.33289344107214
342,-462.8145433209248
343,-525.0834094661216
344,-555.8207404830199
345,-575.9581314202144
346,-594.3769611587587
347,-647.3611048342627
348,-694.5830369528313
